Survey Date,Survey Round,Site ID,Site Name,Site Alternate Name,OCHA Region,OCHA Region P-Code,OCHA Zone,OCHA Zone P-Code,OCHA Woreda,OCHA Woreda P-Code,Longitude,Latitude,Site Open Date,Settlement/site type,Total Individuals,Data Source,Managed Site?,Camp Management Agency,Notes
"26 June, 2021",7,TG578,Guna Poultry farm,,Tigray,ET01,North Western,ET0101,Indasilassie town,ET010108,38.2792704,14.1134765,44149,Collective Center,4800,Preliminary,yes,IOM,
"26 June, 2021",7,TG584,Hibret,,Tigray,ET01,North Western,ET0101,Indasilassie town,ET010108,38.2851095,14.1013408,44149,Host community/families,148761,Preliminary,yes,UNHCR/ANE,
"26 June, 2021",7,TG583,Tahtay Beles,,Tigray,ET01,North Western,ET0101,Tahtay Koraro,ET010104,38.3952899,14.0714806,44166,Host community/families,1099,Preliminary,,,
"25 June, 2021",7,TG610,Model  Kindergarden,,Tigray,ET01,North Western,ET0101,Indasilassie town,ET010108,38.2858716,14.1089701,44145,Collective Center,1650,Preliminary,,,
"25 June, 2021",7,TG612,Youth Recreational Center,,Tigray,ET01,North Western,ET0101,Indasilassie town,ET010108,38.2948847,14.1083558,44145,Host community/families,546,Preliminary,,,
"24 June, 2021",7,TG598,Five Angels,,Tigray,ET01,North Western,ET0101,Indasilassie town,ET010108,38.28599486,14.07965059,44360,Planned camp/site,3072,Preliminary,yes,UNHCR/ANE,
"24 June, 2021",7,TG611,Mender 1,,Tigray,ET01,North Western,ET0101,Indasilassie town,ET010108,38.2780378,14.0998744,44145,Host community/families,21259,Preliminary,,,
"24 June, 2021",7,TG609,Mender 2,,Tigray,ET01,North Western,ET0101,Indasilassie town,ET010108,38.2772518,14.1045903,44145,Host community/families,58890,Preliminary,,,
"24 June, 2021",7,TG606,Mender 3,,Tigray,ET01,North Western,ET0101,Indasilassie town,ET010108,38.27788192,14.09058988,44149,Host community/families,210462,Preliminary,,,
"24 June, 2021",7,TG625,Midre Genet Elders Care Center,,Tigray,ET01,Mekelle,ET0107,Mekelle,ET010701,39.4669007,13.4945946,44367,Collective Center,272,Preliminary,,,
"24 June, 2021",7,TG585,Sehul,,Tigray,ET01,North Western,ET0101,Indasilassie town,ET010108,38.2852319,14.1067134,44149,Host community/families,117530,Preliminary,,,
"24 June, 2021",7,TG605,Taba Weyane Elementary school,Teba Weyane Tsinat Primary School,Tigray,ET01,North Western,ET0101,Indasilassie town,ET010108,38.27960412,14.0940627,44359,Collective Center,6639,Preliminary,yes,IOM,
"23 June, 2021",7,AM259,Kebero Meda,,Amhara,ET03,Central Gondar,ET0311,Gonder town,ET031118,37.4162083,12.5518904,44162,Planned camp/site,1930,Preliminary,,,
"23 June, 2021",7,TG577,Amare,,Tigray,ET01,North Western,ET0101,Sheraro town,ET010107,37.7666979,14.3925793,44145,Host community/families,51801,Preliminary,,,
"23 June, 2021",7,TG582,Maebel,,Tigray,ET01,North Western,ET0101,Sheraro town,ET010107,37.7714613,14.3984376,42590,Host community/families,17818,Preliminary,,,
"23 June, 2021",7,TG608,Sheraro Shede 2,,Tigray,ET01,North Western,ET0101,Sheraro town,ET010107,37.7805461,14.3978333,44145,Collective Center,497,Preliminary,,,
"23 June, 2021",7,TG581,Sheraro Stadium,,Tigray,ET01,North Western,ET0101,Sheraro town,ET010107,37.7672655,14.3862345,44145,Host community/families,44523,Preliminary,,,
"22 June, 2021",7,TG499,107 Elementary School,,Tigray,ET01,North Western,ET0101,Sheraro town,ET010107,37.76490759,14.38857799,44261,Collective Center,720,Preliminary,yes,UNHCR/ANE,
"22 June, 2021",7,TG505,Bet Mekri,,Tigray,ET01,North Western,ET0101,Sheraro town,ET010107,37.77371068,14.39047854,44256,Collective Center,146,Preliminary,,,
"22 June, 2021",7,TG498,Catholic Elementary School,,Tigray,ET01,North Western,ET0101,Sheraro town,ET010107,37.7735122,14.3878735,44145,Collective Center,929,Preliminary,yes,UNHCR/ANE,
"22 June, 2021",7,TG506,Enda China,,Tigray,ET01,North Western,ET0101,Sheraro town,ET010107,37.7663739,14.38327195,44256,Collective Center,16283,Preliminary,yes,UNHCR/ANE,
"22 June, 2021",7,TG500,Ethnographic Museum of Kunama,,Tigray,ET01,North Western,ET0101,Sheraro town,ET010107,37.76609985,14.39771795,44251,Collective Center,309,Preliminary,yes,UNHCR/ANE,
"22 June, 2021",7,TG592,Hayelom,,Tigray,ET01,North Western,ET0101,Maekel Adyabo,ET010112,37.9864554,14.45335,44145,Host community/families,4757,Preliminary,,,
"22 June, 2021",7,TG591,Kuhlen,,Tigray,ET01,North Western,ET0101,Sheraro town,ET010107,37.7729285,14.3906995,44145,Host community/families,122499,Preliminary,,,
"22 June, 2021",7,TG601,May Gilgalot Ketema,,Tigray,ET01,North Western,ET0101,Sheraro town,ET010107,37.76814348,14.38826041,44352,Collective Center,679,Preliminary,,,
"22 June, 2021",7,TG502,Mlinuem Elementary School,,Tigray,ET01,North Western,ET0101,Sheraro town,ET010107,37.76614501,14.39860273,44256,Collective Center,1457,Preliminary,yes,UNHCR/ANE,
"22 June, 2021",7,TG501,Mussie Preparatory School,,Tigray,ET01,North Western,ET0101,Sheraro town,ET010107,37.76340213,14.39275278,44209,Collective Center,2117,Preliminary,yes,UNHCR/ANE,
"22 June, 2021",7,TG504,Semaetat Elementary School,,Tigray,ET01,North Western,ET0101,Sheraro town,ET010107,37.77030313,14.38691132,44209,Collective Center,1799,Preliminary,yes,UNHCR/ANE,
"22 June, 2021",7,TG507,Sheraro Secondary School,,Tigray,ET01,North Western,ET0101,Sheraro town,ET010107,37.7774707,14.3941373,44145,Collective Center,9657,Preliminary,,,
"22 June, 2021",7,TG607,Sheraro Shede 1,,Tigray,ET01,North Western,ET0101,Sheraro town,ET010107,37.7747268,14.3924753,44145,Collective Center,706,Preliminary,,,
"22 June, 2021",7,TG497,Sheraro TVET,,Tigray,ET01,North Western,ET0101,Sheraro town,ET010107,37.7773284,14.3949066,44145,Host community/families,908,Preliminary,,,
"22 June, 2021",7,TG503,Tekeze Co-operative Union Shed,,Tigray,ET01,North Western,ET0101,Sheraro town,ET010107,37.76571182,14.38920953,44211,Collective Center,224,Preliminary,yes,UNHCR/ANE,
